name,date,open,high,low,close,volumn
1DIV,2-Jan-14,11.34,11.34,10.84,10.84,33900
BCHAY,2-Jan-14,18.5,18.5,18.5,18.5,27900
CHINA,2-Jan-14,5.24,5.24,5.23,5.24,26300
EBANK,2-Jan-14,4.72,4.72,4.32,4.32,259900
ECOMM,2-Jan-14,5.19,5.21,5.03,5.03,33900
EFOOD,2-Jan-14,4.67,4.67,4.67,4.67,15600
EICT,2-Jan-14,5.46,5.46,5.17,5.17,48900
ENGY,2-Jan-14,4.7,4.7,4.61,4.61,50400
ENY,2-Jan-14,4.8,4.8,4.64,4.64,43600
GLD,2-Jan-14,1.77,1.78,1.76,1.76,922800
GOLD99,2-Jan-14,19.42,19.5,19.42,19.5,10300
HK,2-Jan-14,4.99,5.01,4.99,5,36600
KG965,2-Jan-14,18.5,18.59,18.5,18.5,14600
TDEX,2-Jan-14,9.03,9.03,8.55,8.6,2015900
TGOLDETF,2-Jan-14,3.91,3.95,3.91,3.94,2383400
TH100,2-Jan-14,3.94,3.94,3.75,3.75,2500
2S,2-Jan-14,2.32,2.36,2.28,2.28,16700
A,2-Jan-14,4.98,4.98,4.96,4.98,39700
AAV,2-Jan-14,3.64,3.64,3.38,3.44,19045100
ABPIF,2-Jan-14,10.1,10.1,10,10.1,278900
ACAP,2-Jan-14,6.5,6.85,5.75,6,8400
ACD,2-Jan-14,1.93,1.99,1.93,1.99,107600
ADAM,2-Jan-14,1.46,1.46,1.38,1.42,323500
ADVANC,2-Jan-14,198,198.5,187,187,12694200
AEC,2-Jan-14,10.3,10.8,10.1,10.8,323000
AEONTS,2-Jan-14,93.75,93.75,89,90,153600
AF,2-Jan-14,16.1,16.1,16,16,900
AFC,2-Jan-14,6.75,6.75,6.75,6.75,100
AGE,2-Jan-14,2.12,2.14,2,2,824400
AH,2-Jan-14,14.9,15.6,14,14.6,159200
AHC,2-Jan-14,19.9,19.9,19.7,19.7,1300
AI,2-Jan-14,14.4,14.4,13.7,13.7,2055000
AIT,2-Jan-14,24,24.1,22.9,23,2448400
AJ,2-Jan-14,9.25,9.25,9.05,9.05,86500
AJP,2-Jan-14,4.54,4.56,4.5,4.52,114200
AKP,2-Jan-14,1.76,1.76,1.68,1.68,577200
AKR,2-Jan-14,1.07,1.07,0.96,0.96,27116600
ALUCON,2-Jan-14,143,143,143,143,100